area,bedrooms,bathrooms,parking,stories,price
7420,4,2,2,3,13300000
8960,4,4,3,4,12250000
9960,3,2,2,2,12250000
7500,4,2,3,2,12215000
7420,4,1,2,2,11410000
7500,3,3,2,1,10850000
8580,4,3,2,4,10150000
16200,5,3,0,2,10150000
8100,4,1,2,2,9870000
5750,3,2,1,4,9800000
13200,3,1,2,2,9800000
6000,4,3,2,2,9681000
6550,4,2,1,2,9310000
3500,4,2,2,2,9240000
7800,3,2,0,2,9240000
6000,4,1,2,2,9100000
6600,4,2,1,2,9100000
8500,3,2,2,4,8960000
4600,3,2,2,2,8890000
6420,3,2,1,2,8855000
4320,3,1,2,2,8750000
7155,3,2,2,1,8680000
8050,3,1,1,1,8645000
4560,3,2,1,2,8645000
8800,3,2,2,2,8575000
6540,4,2,2,2,8540000
6000,3,2,0,4,8463000
8875,3,1,1,1,8400000
7950,5,2,2,2,8400000
5500,4,2,1,2,8400000
7475,3,2,2,4,8400000
7000,3,1,2,4,8400000
4880,4,2,1,2,8295000
5960,3,3,1,2,8190000
6840,5,1,1,2,8120000
7000,3,2,2,4,8080940
7482,3,2,1,3,8043000
9000,4,2,2,4,7980000
6000,3,1,2,4,7962500
6000,4,2,1,4,7910000
6550,3,1,0,2,7875000
6360,3,2,0,4,7840000
6480,3,2,2,4,7700000
6000,4,2,2,4,7700000
6000,4,2,1,4,7560000
6000,3,2,0,3,7560000
6000,3,2,1,4,7525000
6600,3,1,3,4,7490000
4300,3,2,1,2,7455000
7440,3,2,0,1,7420000
7440,3,2,1,4,7420000
6325,3,1,1,4,7420000
6000,4,2,1,4,7350000
5150,3,2,2,4,7350000
6000,3,2,1,2,7350000
6000,3,1,1,2,7350000
11440,4,1,1,2,7343000
9000,4,2,1,4,7245000
7680,4,2,1,4,7210000
6000,3,2,1,4,7210000
6000,3,2,1,2,7140000
8880,2,1,1,1,7070000
6240,4,2,1,2,7070000
6360,4,2,2,3,7035000
11175,3,1,1,1,7000000
8880,3,2,1,2,6930000
13200,2,1,1,1,6930000
7700,3,2,2,1,6895000
6000,3,1,1,1,6860000
12090,4,2,2,2,6790000
4000,3,2,0,2,6790000
6000,4,2,0,4,6755000
5020,3,1,0,4,6720000
6600,2,2,0,4,6685000
4040,3,1,1,2,6650000
4260,4,2,0,2,6650000
6420,3,2,0,3,6650000
6500,3,2,0,3,6650000
5700,3,1,2,1,6650000
6000,3,2,0,3,6650000
6000,3,1,1,2,6629000
4000,3,2,1,2,6615000
10500,3,2,1,1,6615000
6000,3,2,0,4,6580000
3760,3,1,2,2,6510000
8250,3,2,0,3,6510000
6670,3,1,0,3,6510000
3960,3,1,2,1,6475000
7410,3,1,2,1,6475000
8580,5,3,2,2,6440000
5000,3,1,0,2,6440000
6750,2,1,2,1,6419000
4800,3,2,0,4,6405000
7200,3,2,3,1,6300000
6000,4,2,1,4,6300000
4100,3,2,2,3,6300000
9000,3,1,1,1,6300000
6400,3,1,1,1,6300000
6600,3,2,0,3,6293000
6000,4,1,0,3,6265000
6600,3,2,0,1,6230000
5500,3,1,1,3,6230000
5500,3,2,1,4,6195000
6350,3,2,0,3,6195000
5500,3,2,2,1,6195000
4500,3,1,0,4,6160000
5450,4,2,0,1,6160000
6420,3,1,0,3,6125000
3240,4,1,1,3,6107500
6615,4,2,1,2,6090000
6600,3,1,2,1,6090000
8372,3,1,2,3,6090000
4300,6,2,0,2,6083000
9620,3,1,2,1,6083000
6800,2,1,2,1,6020000
8000,3,1,2,1,6020000
6900,3,2,0,1,6020000
3700,4,1,0,2,5950000
6420,3,1,0,1,5950000
7020,3,1,2,1,5950000
6540,3,1,2,1,5950000
7231,3,1,0,2,5950000
6254,4,2,1,1,5950000
7320,4,2,0,2,5950000
6525,3,2,1,4,5950000
15600,3,1,2,1,5943000
7160,3,1,2,1,5880000
6500,3,2,0,3,5880000
5500,3,1,1,3,5873000
11460,3,1,2,3,5873000
4800,3,1,0,1,5866000
5828,4,1,0,4,5810000
5200,3,1,0,3,5810000
4800,3,1,0,3,5810000
7000,3,1,2,1,5803000
6000,3,2,0,4,5775000
5400,4,2,2,2,5740000
4640,4,1,1,2,5740000
5000,3,1,0,3,5740000
6360,3,1,2,1,5740000
5800,3,2,0,4,5740000
6660,4,2,1,2,5652500
10500,4,2,1,2,5600000
4800,5,2,0,3,5600000
4700,4,1,1,2,5600000
5000,3,1,0,4,5600000
10500,2,1,1,1,5600000
5500,3,2,1,2,5600000
6360,3,1,0,3,5600000
6600,4,2,0,1,5600000
5136,3,1,0,2,5600000
4400,4,1,2,2,5565000
5400,5,1,0,2,5565000
3300,3,3,0,2,5530000
3650,3,2,2,2,5530000
6100,3,2,2,1,5530000
6900,3,1,0,1,5523000
2817,4,2,1,2,5495000
7980,3,1,2,1,5495000
3150,3,2,0,1,5460000
6210,4,1,0,4,5460000
6100,3,1,0,3,5460000
6600,4,2,0,2,5460000
6825,3,1,0,1,5425000
6710,3,2,1,2,5390000
6450,3,2,0,1,5383000
7800,3,1,2,1,5320000
4600,2,2,2,1,5285000
4260,4,1,0,2,5250000
6540,4,2,0,2,5250000
5500,3,2,0,1,5250000
10269,3,1,1,1,5250000
8400,3,1,2,2,5250000
5300,4,2,0,1,5250000
3800,3,1,1,2,5250000
9800,4,2,2,2,5250000
8520,3,1,2,1,5250000
6050,3,1,0,1,5243000
7085,3,1,2,1,5229000
3180,3,2,2,2,5215000
4500,4,2,2,1,5215000
7200,3,1,1,2,5215000
3410,3,1,0,2,5145000
7980,3,1,1,1,5145000
3000,3,2,0,2,5110000
3000,3,1,0,2,5110000
11410,2,1,0,2,5110000
6100,3,1,0,1,5110000
5720,2,1,0,2,5075000
3540,2,1,0,1,5040000
7600,4,1,2,2,5040000
10700,3,1,0,2,5040000
6600,3,1,0,1,5040000
4800,2,1,0,1,5033000
8150,3,2,0,1,5005000
4410,4,3,2,2,4970000
7686,3,1,0,1,4970000
2800,3,2,1,2,4956000
5948,3,1,0,2,4935000
